title,price,description,Año de fabricación,Kilometraje,Transmisión,Combustible,Cilindrada,Placa,Categoría,Marca,Modelo,Número de puertas,Tracción,Color,Número cilindros,link
Nissan X-trail Extreme 2015,20500.0,"Camioneta Nissan Full Exclusive Versión AWD 4x4 de uso familiar con 90000 km de recorrido, mantenimientos hechos en casa “Nissan Maquinarias”, SOAT vigente, Revision técnica vigente, bien conservada, sin choques, color Azul Grisáceo, a continuación s...Ver más",2015,89000.0,Automática - Secuencial,Gasolina,2400.0,Par,Camionetas Suv,Nissan,X-TRAIL EXTREME,5,AWD,Azul acero,4,https://neoauto.com/auto/usado/nissan-x-trail-extreme-2015-1688643
Lexus Is 200t F-sport 2016,25500.0,"Vendo mi lexus, en perfecto estado 10/10, cero detalles, mantenimiento siempre en la casa. Version f sport, la mas top del modelo, asiento de cuero real, climatizador en asientos, asientos eléctricos, sunroof, carplay, todo electrico, etc. ",2016,52000.0,Automática - Secuencial,Gasolina,2000.0,Impar,Sedan,Lexus,IS 200T F-SPORT,4,Posterior,Champagne,4,https://neoauto.com/auto/usado/lexus-is-200t-f-sport-2016-1669451
Toyota Hilux 2020,37500.0,"Hilux supero bien cuidada, lunas polarizadas, forro de tolva, aros negros. Negociable",2020,52458.0,Automática,Diesel,2755.0,Par,Pick Up,Toyota,HILUX,4,4x4,Plateado,4,https://neoauto.com/auto/usado/toyota-hilux-2020-1688635
Bmw 420i Gran Coupe 2018,26200.0,"Ocasión 2018 Bmw 420i Gran Coupé Fab 17. 4 puertas. Color Azul. Motor 2.0 Turbo 4 cil. Caja Automática/Secuencial con Paddles. 50 mil km. Comfort Access, Asientos de Cuero eléctricos, Bluetooth, Cámara de retroceso y sensores de estacionamiento. 2 Ll...Ver más",2018,50000.0,Automática - Secuencial,Gasolina,2000.0,Par,Deportivo,Bmw,420I GRAN COUPE,4,Posterior,Azul,4,https://neoauto.com/auto/usado/bmw-420i-gran-coupe-2018-1688621
Audi A6 2014,17900.0,"Vendo Audi A6 en buen estado a buen precio, uso dama médico, no choques, mantenimiento reciente, llanta de repuesto nueva.",2014,74300.0,Automática,Gasolina,2000.0,Impar,Sedan,Audi,A6,5,4x2,,4,https://neoauto.com/auto/usado/audi-a6-2014-1688578
Land Rover Range Rover Evoque 2015,32500.0,"RANGE ROVER EVOQUE Si4, estado impecable 4WD, equipamiento: Asientos de cuero, sistema de entretenimiento, techo de vidrio, boton de arranque START lunas eléctricas, FULL EQUIPO, espejos ELECTRICOS, volante con controles de audio y velocidad de cruce...Ver más",2015,50000.0,Automática - Secuencial,Gasolina,2000.0,Par,Camionetas Suv,Land Rover,RANGE ROVER EVOQUE,5,4x4,Gris Oscuro,4,https://neoauto.com/auto/usado/land-rover-range-rover-evoque-2015-1666201
Ford Explorer 2018,31300.0,"Ford Explorer 2018 , Sistema de Economía Ecoboost , Transmisión Automática Secuencial , Tracción 4 X 2 , 46000 Kilómetros, Tapiz de Cuero , 03 Filas de Asientos , Full Equipo , Camara de Retro , Maletera Electrica , Asientos Delanteros Eléctricos, Ai...Ver más",2018,46000.0,Automática - Secuencial,Gasolina,3500.0,Par,Camionetas Suv,Ford,EXPLORER,5,4x2,Rojo,6,https://neoauto.com/auto/usado/ford-explorer-2018-1688576
Mitsubishi Eclipse Cross 2019,21000.0,"Camioneta color rojo diamante con detalles en cromo de uso particular en excelente estado. Full equipo con mejoramiento del sistema de sonido, mantenimientos al día, papeles en regla. Se vende por Viaje.",2019,60000.0,Automática - Secuencial,Gasolina,2000.0,Par,Camionetas Suv,Mitsubishi,ECLIPSE CROSS,5,4x2,Rojo,,https://neoauto.com/auto/usado/mitsubishi-eclipse-cross-2019-1688567
Toyota Land Cruiser Prado 2012,25500.0,"Vendo mi TOYOTA PRADO VERSION TXL DE MOTOR 4.0 VERSION FULL EQUIPO SOLO GASOLINA. AÑO DE FABRICACIÓN Y MODELO 2012. CAJA AUTOMÁTICA SECUENCIAL. SUNROOF. LLANTAS NUEVAS MARCA MAXXISS Y AROS NUEVOS MARCA BLACK RHINO. ENCENDIDO CON BOTÓN, AIRE ACONDICIO...Ver más",2012,110000.0,Automática - Secuencial,Gasolina,4000.0,Impar,Camionetas Suv,Toyota,LAND CRUISER PRADO,4,4x4,Gris Oscuro,6,https://neoauto.com/auto/usado/toyota-land-cruiser-prado-2012-1688541
Volkswagen Gol Station 2003,7500.0,"Auto en excelente estado, único dueño, mantenimiento en taller de marca autorizada. Pestillos eléctricos, full equipo. Carro asegurado hasta agosto 2023.Llantas nuevas.",2003,130000.0,Mecánica,Gasolina,1800.0,Par,Station Wagon,Volkswagen,GOL STATION,4,,Beige,4,https://neoauto.com/auto/usado/volkswagen-gol-station-2003-1688533
