,price,Año de fabricación,Kilometraje,Transmisión,Combustible,Cilindrada,Categoría,Marca,Tracción,Número cilindros,link,cluster
693,31990.0,2022.0,11600.0,Automática - Secuencial,Gasolina,2000.0,Camionetas Suv,Mitsubishi,4x2,4.0,https://neoauto.com/auto/usado/mitsubishi-eclipse-cross-2022-1678349,2
694,15500.0,2020.0,21600.0,Automática,Gasolina,1600.0,Sedan,Volkswagen,4x2,4.0,https://neoauto.com/auto/usado/volkswagen-gol-2020-1679109,3
695,25500.0,2020.0,35600.0,Automática - Secuencial,Gasolina,2000.0,Camionetas Suv,Mazda,4x2,4.0,https://neoauto.com/auto/usado/mazda-cx-30-2020-1678339,2
696,27490.0,2018.0,66100.0,Automática,Gasolina,2000.0,Camionetas Suv,Subaru,4x4,4.0,https://neoauto.com/auto/usado/subaru-new-xv-2018-1677059,2
697,22390.0,2016.0,113000.0,Mecánica,Dual,2500.0,Pick Up,Mitsubishi,4x4,4.0,https://neoauto.com/auto/usado/mitsubishi-l200-2016-1693509,1
698,9000.0,2016.0,85000.0,Mecánica,Dual,1600.0,Sedan,Volkswagen,Delantera,4.0,https://neoauto.com/auto/usado/volkswagen-gol-2016-1693507,0
699,15900.0,2018.0,25676.0,Mecánica,Gasolina,1600.0,Camionetas Suv,Renault,4x2,4.0,https://neoauto.com/auto/usado/renault-duster-2018-1693454,3
700,21500.0,2020.0,44261.0,Automática - Secuencial,Gasolina,1600.0,Camionetas Suv,Hyundai,4x2,4.0,https://neoauto.com/auto/usado/hyundai-creta-2020-1693448,3
701,11990.0,2013.0,67000.0,Automática - Secuencial,Gasolina,1800.0,Camionetas Suv,Chevrolet,AWD,4.0,https://neoauto.com/auto/usado/chevrolet-tracker-2013-1679477,0
702,35990.0,2020.0,26500.0,Automática - Secuencial,Gasolina,1300.0,Hatchback,Mercedes Benz,Delantera,4.0,https://neoauto.com/auto/usado/mercedes-benz-a200-2020-1678834,2
703,19990.0,2016.0,52402.5,Automática,Gasolina,2000.0,Camionetas Suv,Hyundai,Delantera,4.0,https://neoauto.com/auto/usado/hyundai-tucson-2016-1680282,1
704,17490.0,2015.0,80600.0,Automática - Secuencial,Gasolina,2400.0,Camionetas Suv,Kia,4x2,4.0,https://neoauto.com/auto/usado/kia-sorento-2015-1687630,1
705,18500.0,2014.0,62711.0,Automática,Gasolina,2400.0,Camionetas Suv,Nissan,4x2,4.0,https://neoauto.com/auto/usado/nissan-x-trail-2014-1693392,1
706,36800.0,2017.0,57400.0,Automática - Secuencial,Gasolina,2000.0,Camionetas Suv,Bmw,4x2,4.0,https://neoauto.com/auto/usado/bmw-x3-20i-2017-1693437,2
707,31000.0,2022.0,7650.0,Mecánica,Gas GLP,2000.0,Camionetas Suv,Hyundai,4x2,4.0,https://neoauto.com/auto/usado/hyundai-tucson-2022-1693390,2
708,15900.0,2017.0,28173.0,Mecánica,Gasolina,2000.0,Sedan,Mazda,Delantera,4.0,https://neoauto.com/auto/usado/mazda-3-2017-1693377,3
709,13490.0,2023.0,80.0,Mecánica,Gasolina,1500.0,Sedan,Morris Garages,4x2,4.0,https://neoauto.com/auto/usado/morris-garages-mg-5-2023-1690444,3
710,16500.0,2015.0,76500.0,Automática - Secuencial,Gasolina,2000.0,Camionetas Suv,Mazda,4x2,4.0,https://neoauto.com/auto/usado/mazda-cx-5-2015-1693374,1
711,11990.0,2015.0,89000.0,Mecánica,Gasolina,2000.0,Deportivo,Kia,4x2,4.0,https://neoauto.com/auto/usado/kia-cerato-koup-2015-1689844,1
712,10490.0,2013.0,62500.0,Mecánica,Gasolina,1600.0,Sedan,Mazda,Delantera,4.0,https://neoauto.com/auto/usado/mazda-3-2013-1687947,0
713,12490.0,2018.0,61000.0,Mecánica,Gas GLP,1400.0,Sedan,Kia,4x2,4.0,https://neoauto.com/auto/usado/kia-rio-2018-1686746,3
714,12990.0,2015.0,62500.0,Automática,Gasolina,1600.0,Hatchback,Kia,4x2,4.0,https://neoauto.com/auto/usado/kia-cerato-hb-2015-1676925,0
715,21990.0,2022.0,16600.0,Automática,Gasolina,1500.0,Camionetas Suv,Haval,4x2,4.0,https://neoauto.com/auto/usado/haval-h6-2022-1677392,3
716,11000.0,2020.0,31.0,Mecánica,Gasolina,1500.0,Camionetas Suv,Baic,4x2,4.0,https://neoauto.com/auto/usado/baic-x25-2020-1693372,3
717,14990.0,2012.0,74800.0,Automática - Secuencial,Diesel,3000.0,Vans,Kia,4x2,4.0,https://neoauto.com/auto/usado/kia-carnival-2012-1690540,1
718,38000.0,2020.0,54900.0,Automática,Gasolina,2000.0,Camionetas Suv,Volvo,4x2,4.0,https://neoauto.com/auto/usado/volvo-xc-40-2020-1693350,2
719,16500.0,2022.0,19136.0,Mecánica,Gas GNV,1200.0,Hatchback,Hyundai,4x2,4.0,https://neoauto.com/auto/usado/hyundai-i20-2022-1684986,3
720,35000.0,2020.0,39533.0,Automática,Gasolina,2400.0,Camionetas Suv,Hyundai,4x2,4.0,https://neoauto.com/auto/usado/hyundai-santa-fe-2020-1684170,2
721,41000.0,2023.0,5208.0,Automática,Gasolina,2500.0,Camionetas Suv,Hyundai,4WD,4.0,https://neoauto.com/auto/usado/hyundai-santa-fe-2023-1676953,2
722,21500.0,2018.0,40596.0,Mecánica,Gasolina,2000.0,Camionetas Suv,Hyundai,4x2,4.0,https://neoauto.com/auto/usado/hyundai-tucson-2018-1691347,2
723,35000.0,2022.0,24450.0,Automática,Gasolina,1600.0,Camionetas Suv,Hyundai,4x2,4.0,https://neoauto.com/auto/usado/hyundai-tucson-2022-1684182,2
724,24800.0,2020.0,63037.0,Mecánica,Gas GLP,2000.0,Camionetas Suv,Hyundai,4x2,4.0,https://neoauto.com/auto/usado/hyundai-tucson-2020-1684178,2
725,27000.0,2019.0,39000.0,Automática,Gasolina,1600.0,Camionetas Suv,Hyundai,4WD,4.0,https://neoauto.com/auto/usado/hyundai-tucson-2019-1673263,2
726,16000.0,2013.0,71000.0,Automática,Gasolina,2000.0,Camionetas Suv,Hyundai,4x2,4.0,https://neoauto.com/auto/usado/hyundai-tucson-2013-1681427,1
727,25500.0,2018.0,70000.0,Mecánica,Diesel,2500.0,Camionetas Suv,Mitsubishi,4x4,4.0,https://neoauto.com/auto/usado/mitsubishi-l200-dk-r-2018-1653927,2
728,19000.0,2017.0,58144.0,Mecánica,Gas GLP,2000.0,Camionetas Suv,Mitsubishi,4x2,4.0,https://neoauto.com/auto/usado/mitsubishi-asx-2017-1684276,1
729,17000.0,2022.0,1700.0,Mecánica,Gasolina,1600.0,Camionetas Suv,Renault,4x2,4.0,https://neoauto.com/auto/usado/renault-stepway-2022-1684286,3
730,18500.0,2021.0,23600.0,Mecánica,Gas GLP,1600.0,Camionetas Suv,Renault,4x2,4.0,https://neoauto.com/auto/usado/renault-duster-2021-1677347,3
731,18500.0,2022.0,19700.0,Mecánica,Gas GLP,1600.0,Camionetas Suv,Renault,4x2,4.0,https://neoauto.com/auto/usado/renault-duster-2022-1665703,3
732,14610.0,2015.0,43500.0,Mecánica,Gasolina,2500.0,Camionetas Suv,Renault,4x2,4.0,https://neoauto.com/auto/usado/renault-koleos-2015-1671287,1
